,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
2156,"(0, 2, 3, 4, 7, 8, 10)",[0.55378313 0.59682828 0.54311241 0.59769038 0.51039417],0.5603616740370047,"('modified_subsystems', 'number_of_authors', 'age', 'number_unique_changes', 'rexp', 'lines_of_code_added', 'files_churned')",0.0428632941202156,0.03334909903250799,0.01667454951625399
2157,"(0, 2, 3, 4, 7, 10)",[0.55378313 0.59682828 0.54311241 0.59769038 0.51039417],0.5603616740370047,"('modified_subsystems', 'number_of_authors', 'age', 'number_unique_changes', 'rexp', 'files_churned')",0.0428632941202156,0.03334909903250799,0.01667454951625399
2158,"(0, 2, 3, 4, 5, 7, 8, 9, 10)",[0.55378313 0.59682676 0.54311241 0.59769191 0.51039417],0.5603616740370047,"('modified_subsystems', 'number_of_authors', 'age', 'number_unique_changes', 'purpose', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned')",0.042863304295536,0.033349106949252943,0.016674553474626472
2159,"(0, 2, 3, 4, 7, 9, 10)",[0.55378313 0.59682676 0.54311241 0.59769038 0.51039417],0.5603613683294445,"('modified_subsystems', 'number_of_authors', 'age', 'number_unique_changes', 'rexp', 'lines_of_code_deleted', 'files_churned')",0.04286286447122072,0.03334876475099338,0.01667438237549669
2160,"(0, 2, 3, 4, 7, 8, 9, 10)",[0.55378313 0.59682676 0.54311241 0.59769038 0.51039417],0.5603613683294445,"('modified_subsystems', 'number_of_authors', 'age', 'number_unique_changes', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned')",0.04286286447122072,0.03334876475099338,0.01667438237549669
2161,"(1, 2, 3, 5, 6, 7)",[0.55178686 0.60176546 0.54217694 0.6001819  0.50585716],0.5603536640590618,"('entropy', 'number_of_authors', 'age', 'purpose', 'experience', 'rexp')",0.04696108063912526,0.03653731615949596,0.01826865807974798
2162,"(1, 2, 3, 6, 7, 8)",[0.55178839 0.60176546 0.54217694 0.60017884 0.50585716],0.5603533583515017,"('entropy', 'number_of_authors', 'age', 'experience', 'rexp', 'lines_of_code_added')",0.04696013191391801,0.0365365780190534,0.018268289009526702
2163,"(0, 1, 2, 3, 4, 7, 10)",[0.5537816  0.59681758 0.54311241 0.59765981 0.51039417],0.5603531142253205,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'rexp', 'files_churned')",0.0428515688604014,0.03333997638202693,0.016669988191013462
2164,"(0, 1, 2, 3, 4, 7, 8, 9, 10)",[0.5537816  0.59681758 0.54311241 0.59765981 0.51039417],0.5603531142253205,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned')",0.0428515688604014,0.03333997638202693,0.016669988191013462
2165,"(0, 1, 2, 3, 4, 7, 9, 10)",[0.5537816  0.59681758 0.54311241 0.59765981 0.51039417],0.5603531142253205,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'rexp', 'lines_of_code_deleted', 'files_churned')",0.0428515688604014,0.03333997638202693,0.016669988191013462
